Source,Target,Value,
LinkedIn,First Interview,0,value is num of apps that take that path
Website,First Interview,1,
Referral,First Interview,5,
Tufts Handshake,First Interview,1,
LinkedIn,Rejected,16,
Website,Rejected,39,
Referral,Rejected,7,
Tufts Handshake,Rejected,2,
LinkedIn,No Reponse,14,
Website,No Reponse,43,
Referral,No Reponse,5,
Tufts Handshake,No Reponse,11,
First Interview,Second Interview,5,
First Interview,Rejected,0,
First Interview,No Reponse,2,
Second Interview,Final Interview,1,
Second Interview,Rejected,2,
Second Interview,No Reponse,2,
Final Interview,Offer,0,
Final Interview,Rejected,1,
